Site,Parameter,Date (LST),Year,Month,Day,Hour,Value
Beijing,PM2.5,2011/1/19 7:00,2011,1,19,7,14
Beijing,PM2.5,2011/1/19 8:00,2011,1,19,8,21
Beijing,PM2.5,2011/1/19 9:00,2011,1,19,9,26
Beijing,PM2.5,2011/1/19 10:00,2011,1,19,10,25
Beijing,PM2.5,2011/1/19 11:00,2011,1,19,11,21
Beijing,PM2.5,2011/1/19 12:00,2011,1,19,12,21
Beijing,PM2.5,2011/1/19 13:00,2011,1,19,13,24
Beijing,PM2.5,2011/1/19 14:00,2011,1,19,14,13
Beijing,PM2.5,2011/1/19 15:00,2011,1,19,15,13
Beijing,PM2.5,2011/1/19 16:00,2011,1,19,16,12
Beijing,PM2.5,2011/1/19 17:00,2011,1,19,17,16
Beijing,PM2.5,2011/1/19 18:00,2011,1,19,18,18
Beijing,PM2.5,2011/1/19 19:00,2011,1,19,19,24
Beijing,PM2.5,2011/1/19 20:00,2011,1,19,20,16
Beijing,PM2.5,2011/1/19 21:00,2011,1,19,21,34
Beijing,PM2.5,2011/1/19 22:00,2011,1,19,22,24
Beijing,PM2.5,2011/1/19 23:00,2011,1,19,23,17
Beijing,PM2.5,2011/1/20 0:00,2011,1,20,0,15
Beijing,PM2.5,2011/1/20 1:00,2011,1,20,1,20
Beijing,PM2.5,2011/1/20 2:00,2011,1,20,2,13
Beijing,PM2.5,2011/1/20 3:00,2011,1,20,3,17
Beijing,PM2.5,2011/1/20 4:00,2011,1,20,4,17
Beijing,PM2.5,2011/1/20 5:00,2011,1,20,5,20
Beijing,PM2.5,2011/1/20 6:00,2011,1,20,6,20
Beijing,PM2.5,2011/1/20 7:00,2011,1,20,7,15
Beijing,PM2.5,2011/1/20 8:00,2011,1,20,8,26
Beijing,PM2.5,2011/1/20 9:00,2011,1,20,9,25
Beijing,PM2.5,2011/1/20 10:00,2011,1,20,10,27
Beijing,PM2.5,2011/1/20 11:00,2011,1,20,11,44
Beijing,PM2.5,2011/1/20 12:00,2011,1,20,12,29
Beijing,PM2.5,2011/1/20 13:00,2011,1,20,13,19
Beijing,PM2.5,2011/1/20 14:00,2011,1,20,14,25
Beijing,PM2.5,2011/1/20 15:00,2011,1,20,15,47
Beijing,PM2.5,2011/1/20 16:00,2011,1,20,16,58
Beijing,PM2.5,2011/1/20 17:00,2011,1,20,17,59
Beijing,PM2.5,2011/1/20 18:00,2011,1,20,18,70
Beijing,PM2.5,2011/1/20 19:00,2011,1,20,19,74
Beijing,PM2.5,2011/1/20 20:00,2011,1,20,20,82
Beijing,PM2.5,2011/1/20 21:00,2011,1,20,21,91
Beijing,PM2.5,2011/1/20 22:00,2011,1,20,22,100
Beijing,PM2.5,2011/1/20 23:00,2011,1,20,23,124
Beijing,PM2.5,2011/1/21 0:00,2011,1,21,0,120
Beijing,PM2.5,2011/1/21 1:00,2011,1,21,1,45
Beijing,PM2.5,2011/1/21 2:00,2011,1,21,2,36
Beijing,PM2.5,2011/1/21 3:00,2011,1,21,3,34
Beijing,PM2.5,2011/1/21 4:00,2011,1,21,4,39
Beijing,PM2.5,2011/1/21 5:00,2011,1,21,5,27
Beijing,PM2.5,2011/1/21 6:00,2011,1,21,6,20
Beijing,PM2.5,2011/1/21 7:00,2011,1,21,7,31
Beijing,PM2.5,2011/1/21 8:00,2011,1,21,8,32
